epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12998.4,1.12042,1.03421,1.27714,0.64972,0.49566,0.54129,0.35582,1.06203,8.35126,1.26524,0.005842,0.005842,0.005842
44,13304.9,1.14127,1.04992,1.29229,0.6561,0.49485,0.54279,0.35722,1.06028,8.37111,1.26419,0.005743,0.005743,0.005743
45,13607.7,1.1269,1.03722,1.27626,0.67809,0.48412,0.54426,0.35858,1.05876,8.43616,1.263,0.005644,0.005644,0.005644
46,13904,1.13051,1.02644,1.27576,0.68671,0.48094,0.54556,0.35901,1.05741,8.41224,1.2621,0.005545,0.005545,0.005545
47,14199,1.11667,1.01802,1.26909,0.68237,0.48929,0.54699,0.36056,1.05672,8.40912,1.26117,0.005446,0.005446,0.005446
48,14492.9,1.11561,1.01967,1.27446,0.68488,0.48616,0.54781,0.36147,1.05614,8.41952,1.26015,0.005347,0.005347,0.005347
49,14788.6,1.11632,1.00962,1.26901,0.67573,0.49451,0.54869,0.36184,1.05498,8.45525,1.25882,0.005248,0.005248,0.005248
50,15083.3,1.10615,0.99597,1.26751,0.67261,0.49588,0.55047,0.36305,1.05476,8.47902,1.25866,0.005149,0.005149,0.005149
51,15376.9,1.11107,0.99917,1.26156,0.67269,0.50004,0.55091,0.36398,1.05398,8.46789,1.25777,0.00505,0.00505,0.00505
52,15670.3,1.10569,0.99295,1.26166,0.67685,0.50111,0.55084,0.36429,1.05317,8.50243,1.25766,0.004951,0.004951,0.004951
53,15966.6,1.09734,0.98896,1.25531,0.68008,0.49874,0.5513,0.36508,1.05167,8.51197,1.25603,0.004852,0.004852,0.004852
54,16262.8,1.09304,0.97403,1.25175,0.67782,0.50031,0.55163,0.36576,1.05003,8.50874,1.25485,0.004753,0.004753,0.004753
55,16558.3,1.09732,0.97763,1.25521,0.67972,0.50122,0.55181,0.3663,1.04972,8.49996,1.25388,0.004654,0.004654,0.004654
56,16853.7,1.08348,0.96481,1.25288,0.68338,0.50162,0.5525,0.36689,1.04913,8.5105,1.25331,0.004555,0.004555,0.004555
57,17149.5,1.08573,0.97195,1.25048,0.67679,0.51024,0.55311,0.36745,1.04882,8.51804,1.25309,0.004456,0.004456,0.004456
58,17445.3,1.08935,0.9631,1.25019,0.67568,0.50865,0.55361,0.36799,1.04802,8.52273,1.25228,0.004357,0.004357,0.004357
59,17741.5,1.07566,0.94771,1.24165,0.6751,0.50699,0.55442,0.36858,1.04776,8.53225,1.25193,0.004258,0.004258,0.004258
60,18038.1,1.08657,0.94656,1.25258,0.6734,0.50807,0.55399,0.36909,1.04733,8.54069,1.25113,0.004159,0.004159,0.004159
61,18333.5,1.07431,0.94283,1.23844,0.6815,0.50321,0.55423,0.36922,1.04713,8.55656,1.2509,0.00406,0.00406,0.00406
62,18628.4,1.07725,0.94406,1.24101,0.68926,0.49644,0.55545,0.3699,1.04694,8.56878,1.25047,0.003961,0.003961,0.003961
